SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/rocm	DS4_ROCM_ENABLE_Q4_DENSE_PAIR	presence opt-in; unset=off; DISABLE takes precedence	Enable rocm enable q4 dense pair.	rocm/ds4_rocm_q4.cuh:434
runtime/rocm	DS4_ROCM_ENABLE_Q4_GROUPED_ATTN_A	presence opt-in outside the default scope; the exact caller-marked resident decode shape groups=8, N=1, K=4096, M=1024 is automatic, while row-at-a-time batch fallbacks are not; DISABLE wins	Enable grouped Q4 attention-A for eligible slices, non-production shapes, or explicit experiments in addition to the resident decode default.	rocm/ds4_rocm_q4.cuh:872
runtime/rocm	DS4_ROCM_ENABLE_Q4_PREFILL_K1024_TILE4_SSD	value-aware SSD-only opt-in, default off; unset/0/false/no/off retains TILE8, while empty or any other value requests TILE4; eligibility additionally requires N=9..4096, K=1024, M=32768, TILE8 enabled, and the complete weight range in device storage rather than mapped/registered host memory; DISABLE wins	Allow the four-lane K=1024 Q4_K prefill specialization to consume an already device-resident/cache-backed attn_q_b weight range during SSD streaming without changing model I/O.	rocm/ds4_rocm_q4.cuh:624
runtime/rocm	DS4_ROCM_ENABLE_Q4_PREFILL_Q8_K_WAVE32	value-aware opt-in, default off; unset/0/false/no/off retains the canonical quantizer, while empty or any other value requests the candidate for N=9..4096 on gfx1151 wave32; DISABLE wins; a selected exact Q8 path takes precedence over automatic direct-Q4 WMMA, REQUIRE_WMMA overrides an optional request, and dual REQUIRE fails closed	Quantize eight independent Q8_K activation blocks per 256-thread workgroup using one wave32 per block, without LDS or workgroup barriers, before the exact Q4 prefill matmul (TILE8 or its legacy rollback).	rocm/ds4_rocm_q4.cuh:858
runtime/rocm	DS4_ROCM_ENABLE_Q4_PREFILL_WMMA	value-aware compatibility control; unset keeps automatic resident direct-Q4 WMMA for standalone dense and attention-output A while attention-output B remains on Q8_K+TILE8; empty or any value other than 0/false/no/off explicitly retains the same eligible A paths but no longer opts B into direct WMMA; explicit 0/false/no/off opts out unless REQUIRE is set, while DISABLE is the authoritative rollback; N=256..4096, K a positive multiple of 256, resident non-quality gfx1151 wave32 only; SSD has a separate gate	Use compressed Q4_K-to-F16 register dequantization plus shape-selected 64-token by 64/128/256-row WMMA tiles, K64/P80 staging on 64/128 rows, and default K128/P144 float4 staging on aligned 256 rows, without Q8_K activation scratch or an F16 weight sidecar.	rocm/ds4_rocm_q4.cuh:1622
runtime/rocm	DS4_ROCM_ENABLE_Q4_PREFILL_WMMA_K64	value-aware base staging control; unset, empty, or any value other than 0/false/no/off uses K64/P80 on 64/128-row or K128-incompatible launches and permits default K128/P144 on aligned 256-row launches; 0/false/no/off suppresses both wider stages and rolls back to K32; DS4_ROCM_DISABLE_Q4_PREFILL_WMMA wins	Stage two adjacent 32-value Q4_K groups and a 64-value activation slice in one padded P80 LDS tile as the narrower geometry and K128 fallback, halving K32 workgroup barriers while preserving its activation traffic and accumulation order.	rocm/ds4_rocm_q4.cuh:1870
runtime/rocm	DS4_ROCM_ENABLE_Q4_PREFILL_WMMA_SSD	value-aware SSD-only opt-in, default off; unset/0/false/no/off retains TILE8/TILE4, while empty or any other value requests direct-Q4 WMMA for eligible standalone projections and attention-output A but leaves attention-output B on Q8_K+TILE8; eligibility additionally requires each complete projection weight range in physical device storage rather than mapped/registered host memory; DISABLE wins	Allow the compressed direct-Q4 WMMA kernel to consume an already device-resident/cache-backed Q4_K projection during SSD streaming without changing model I/O.	rocm/ds4_rocm_q4.cuh:1356
runtime/rocm	DS4_ROCM_ENABLE_STREAMING_FULL_EXPERT_ADDR_TABLE	presence opt-in flag; unset=off unless paired policy is automatic	Enable rocm enable streaming full expert addr table.	ds4.c:18255
runtime/rocm	DS4_ROCM_ENABLE_STREAMING_MADVISE_WILLNEED	presence opt-in flag; unset=off unless paired policy is automatic	Enable rocm enable streaming madvise willneed.	ds4.c:18224
runtime/rocm	DS4_ROCM_ENABLE_STREAMING_PREFILL_BATCH_SELECTED_ADDR	presence opt-in flag; unset=off unless paired policy is automatic	Enable rocm enable streaming prefill batch selected addr.	ds4.c:18584
runtime/rocm	DS4_ROCM_ENABLE_STREAMING_PREFILL_CACHE_SEED	presence opt-in flag; unset=off unless paired policy is automatic	Enable rocm enable streaming prefill cache seed.	ds4.c:21273
runtime/rocm	DS4_ROCM_ENABLE_STREAMING_PREFILL_LAYER_PAGEIN	presence opt-in flag; unset=off unless paired policy is automatic	Enable rocm enable streaming prefill layer pagein.	ds4.c:18446
runtime/rocm	DS4_ROCM_ENABLE_STREAMING_PREFILL_LAYER_READAHEAD	presence opt-in flag; unset=off unless paired policy is automatic	Enable rocm enable streaming prefill layer readahead.	ds4.c:18456
runtime/rocm	DS4_ROCM_ENABLE_STREAMING_PREFILL_SELECTED_MADVISE	presence opt-in flag; unset=off unless paired policy is automatic	Enable rocm enable streaming prefill selected madvise.	ds4.c:18436
runtime/rocm	DS4_ROCM_ENABLE_STREAMING_PREFILL_SELECTED_PAGEIN	presence opt-in flag; unset=off unless paired policy is automatic	Enable rocm enable streaming prefill selected pagein.	ds4.c:18426
runtime/rocm	DS4_ROCM_ENABLE_STREAMING_PREFILL_SELECTED_READAHEAD	presence opt-in flag; unset=off unless paired policy is automatic	Enable rocm enable streaming prefill selected readahead.	ds4.c:19970
runtime/rocm	DS4_ROCM_ENABLE_STREAMING_PREFILL_SELECTED_READAHEAD_SHARED	presence opt-in flag; unset=off unless paired policy is automatic	Enable rocm enable streaming prefill selected readahead shared.	ds4.c:19972
runtime/rocm	DS4_ROCM_ENABLE_STREAMING_READAHEAD	presence opt-in flag; unset=off unless paired policy is automatic	Enable rocm enable streaming readahead.	ds4.c:18217
runtime/rocm	DS4_ROCM_ENABLE_STREAMING_STATIC_DECODE_MAP	presence opt-in flag; unset=off unless paired policy is automatic	Enable rocm enable streaming static decode map.	ds4.c:18236
runtime/rocm	DS4_ROCM_GLM_CAUSAL_ATTN_GEMM	Enabled by default when unset. Exact "0" or an empty value disables; every other nonempty value enables (including false/off/no), because cuda_env_present only tests nonempty and != "0". Eligibility still requires causal_range && !has_selected; a failed GEMM helper falls through to the scalar attention kernel.	Use FP16 BLAS GEMMs for dense causal GLM indexed prefill; =0 is the correctness/performance rollback to the scalar attention kernel.	rocm/ds4_rocm_glm.cuh:3283
runtime/rocm	DS4_ROCM_GLM_DISABLE_STREAMING_EXPERT_CACHE	Pure presence flag: any defined value, including empty or "0", disables. Unset leaves automatic GLM streaming expert-cache eligibility enabled for supported model/quant/quality/SSD configurations. On ROCm builds DS4_METAL_GLM_DISABLE_STREAMING_EXPERT_CACHE is an accepted fallback alias.	Disable selected/resident streamed-expert cache paths and force generic/full-layer expert handling for GLM SSD streaming.	ds4.c:21197
runtime/rocm	DS4_ROCM_GLM_DISABLE_STREAMING_SEED_BEFORE_PREFILL	Pure presence flag: any defined value, including empty or "0", disables. Unset seeds before prefill whenever SSD streaming is active. On ROCm builds DS4_METAL_GLM_DISABLE_STREAMING_SEED_BEFORE_PREFILL is an accepted fallback alias.	Skip the pre-prefill hotlist seed of the streaming expert cache in both one-shot GLM generation and session setup.	ds4.c:51073
runtime/rocm	DS4_ROCM_GLM_DISABLE_STREAMING_TOKEN_PREFILL	Pure presence flag: any defined value, including empty or "0", disables. Unset leaves the token-major path eligible only for SSD streaming, non-quality mode, a nonempty batch fitting full attention, and n_tokens <= the configured nonzero maximum. DS4_METAL_GLM_DISABLE_STREAMING_TOKEN_PREFILL and generic DS4_GLM_DISABLE_STREAMING_TOKEN_PREFILL are also accepted presence aliases.	Roll back GLM SSD-streaming token-major prefill to the normal prefill implementation.	ds4.c:49703
runtime/rocm	DS4_ROCM_GLM_GROUPED_QK_LOW	sampled once; unset: enabled; present empty or exact 0: disabled; every other present value: enabled	Selects the grouped shared-input ROCm kernel for eligible multi-token GLM qk-lowrank projection; disabling uses the per-head/per-token projection kernel.	rocm/ds4_rocm_runtime.cuh:4800
runtime/rocm	DS4_ROCM_GLM_GROUPED_VALUE_PROJECT	sampled once; unset: enabled; present empty or exact 0: disabled; every other present value: enabled	Selects the grouped shared-input ROCm kernel for eligible multi-token GLM value projection; disabling uses the non-grouped batch projection path.	rocm/ds4_rocm_runtime.cuh:4791
runtime/rocm	DS4_ROCM_GLM_LAYER_SLICE_TOKEN_DECODE	Opt-in truthy parser; unset, empty, "0", false, off, or no (case-insensitive words) are false, every other nonempty value is true. Default off and compiled only for ROCm.	Allow a one-token, pos>0 GLM layer-slice with inter-node input/output hidden buffers to use the optimized resident token graph; without it only the no-hidden-buffer case takes that shortcut.	ds4.c:43573
runtime/rocm	DS4_ROCM_GLM_SELECTED_ATTN_GEMM	Enabled by default when unset. Exact "0" or an empty value disables; every other nonempty value enables (including false/off/no). Eligibility still requires !causal_range && has_selected; failure/ineligibility falls through to the scalar attention kernel.	Gather per-token selected cache rows into FP16 matrices and use strided-batched BLAS GEMMs for GLM selected indexed prefill; =0 forces the scalar path.	rocm/ds4_rocm_glm.cuh:3239
runtime/rocm	DS4_ROCM_GLM_SELECTED_ATTN_HEAD_TILE	Unsigned integer read and cached once; valid values are exactly 1,2,4,8,16,32,64. Unset/empty defaults to 16. A nonnumeric, partially parsed, overflowed, or unsupported value prints a warning and uses 16; the effective tile is min(requested,n_head).	Set how many attention heads each selected-attention GEMM workspace tile processes.	rocm/ds4_rocm_glm.cuh:2509
runtime/rocm	DS4_ROCM_GLM_SELECTED_ATTN_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm glm selected attn profile.	rocm/ds4_rocm_glm.cuh:2534
runtime/rocm	DS4_ROCM_GLM_STREAMING_ASYNC_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm glm streaming async profile.	ds4.c:44361
runtime/rocm	DS4_ROCM_GLM_STREAMING_DECODE_FULL_LAYER_MAP	Pure presence flag: any defined value, including empty or "0", forces full mapping. Unset uses automatic mapping: resident layers map fully, eligible expert-cache layers use decode-only/expert mapping, otherwise full mapping. DS4_METAL_GLM_STREAMING_DECODE_FULL_LAYER_MAP and generic DS4_GLM_STREAMING_DECODE_FULL_LAYER_MAP are also accepted presence aliases.	Force every GLM SSD-streaming decode layer through full-layer mapping, bypassing the selected-expert/decode mapping optimization.	ds4.c:42615
runtime/rocm	DS4_ROCM_GLM_STREAMING_DECODE_SYNC_EACH_LAYER	ROCm-only primary value; nonempty takes priority over DS4_METAL_GLM_STREAMING_DECODE_SYNC_EACH_LAYER and the generic DS4_GLM_STREAMING_DECODE_SYNC_EACH_LAYER fallback; empty acts as unset; truthy unless exact 0 or case-insensitive false/off/no; with all aliases unset: false	For non-static GLM SSD decode on ROCm, opts into a full command/device synchronization after token mapping and every layer; default keeps ordered work queued across layer mappings, and static-map decode bypasses it.	ds4.c:49779
runtime/rocm	DS4_ROCM_GLM_STREAMING_GROW_CACHE_AFTER_PREFILL	Enabled by default when absent. If defined, only a truthy nonempty value enables; empty, "0", false, off, or no disable. Growth also requires SSD streaming plus nonzero base cache and prefill-headroom budgets, and occurs only if the recomputed expert count exceeds the current count.	After successful ROCm GLM prefill, add the released prefill headroom to the dynamic streaming expert-cache byte budget.	ds4.c:51111
runtime/rocm	DS4_ROCM_GLM_STREAMING_PREFILL_FULL_LAYER	presence force-on; any presence including empty or 0 enables; unset falls back to the Metal alias and then the automatic token threshold (1024 by default on ROCm); DS4_ROCM_DISABLE_GLM_STREAMING_PREFILL_FULL_LAYER dominates	Forces GLM SSD prefill into full-layer mapping/cache mode even below the automatic large-batch threshold.	ds4.c:42692
runtime/rocm	DS4_ROCM_GLM_STREAMING_PREFILL_FULL_LAYER_MIN_TOKENS	Positive uint32 threshold parsed with strtoul; ROCm default is 1024. Missing/empty, no leading number, errno/overflow, zero, or >UINT32_MAX returns 1024. The parser does not require end-of-string, so trailing junk after a valid leading number is accepted. A nonempty ROCm value takes precedence; otherwise DS4_METAL_GLM_STREAMING_PREFILL_FULL_LAYER_MIN_TOKENS is a fallback alias.	Set the automatic token-count crossover for ROCm GLM SSD prefill to load/use full resident expert layers when the layer supports that mode.	ds4.c:42692
runtime/rocm	DS4_ROCM_GLM_STREAMING_PREFILL_SYNC_EACH_LAYER	ROCm-only primary value; nonempty takes priority over DS4_METAL_GLM_STREAMING_PREFILL_SYNC_EACH_LAYER and the generic DS4_GLM_STREAMING_PREFILL_SYNC_EACH_LAYER fallback; empty acts as unset; truthy unless exact 0 or case-insensitive false/off/no; with all aliases unset: false for compact prefill; full-layer prefill always returns true	For compact GLM SSD prefill on ROCm, opts into a full command/device synchronization at every layer boundary; default preserves queued work across mappings, while full-layer cache mode always synchronizes.	ds4.c:42395
runtime/rocm	DS4_ROCM_GLM_STREAMING_TOKEN_PREFILL_MAX	primary nonempty value, then the Metal alias, then generic DS4_GLM_STREAMING_TOKEN_PREFILL_MAX; parsed by strtoul without requiring full-string consumption; 0 is valid and disables; no digits, ERANGE, or > UINT32_MAX uses the ROCm default 0	Sets the largest non-quality GLM SSD-prefill chunk eligible for token-major/decode-style execution; ROCm defaults to canonical indexed batch prefill (0 disables token-major mode).	ds4.c:49682
runtime/rocm	DS4_ROCM_GLM_VALUE_PROJECT_WAVE_DECODE	Enabled by default when unset. Exact "0" or empty disables; every other nonempty value enables (including false/off/no). It applies only when n_tokens==1; =0 or multi-token input uses the generic per-head batch kernel.	Select the validated wave-per-output-row ROCm Q8 GLM value-projection kernel for one-token decode; =0 is the generic-kernel rollback.	rocm/ds4_rocm_glm.cuh:2019
runtime/rocm	DS4_ROCM_GRAPH_DUMP_LAYER	unsigned layer or all; unset=all layers	Filter ROCm graph dumps by layer.	ds4.c:16862
runtime/rocm	DS4_ROCM_GRAPH_DUMP_NAME	nonempty substring filter; unset=all tensor names	Filter ROCm graph dumps by tensor/stage name.	ds4.c:16858
runtime/rocm	DS4_ROCM_GRAPH_DUMP_NONINVASIVE	truthy value under the shared parser; unset lets dumping select conservative kernels	Keep production ROCm kernel selection while graph dumping.	rocm/ds4_rocm_runtime.cuh:4822
runtime/rocm	DS4_ROCM_GRAPH_DUMP_POS	unsigned token position; unset=all positions	Filter ROCm graph dumps by position.	ds4.c:16869
runtime/rocm	DS4_ROCM_GRAPH_DUMP_PREFIX	nonempty output path prefix; unset=off	Enable ROCm intermediate graph/tensor dumps.	ds4_cuda.cu:397
runtime/rocm	DS4_ROCM_GRAPH_DUMP_TRACE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Emit trace diagnostics for rocm graph dump trace.	ds4.c:16914
runtime/rocm	DS4_ROCM_GRAPH_OUTPUT_ROW	Nonempty string with a leading strtoul-parsable unsigned value < n_tokens selects that zero-based row. Default, empty, unparsable, or out-of-range selects n_tokens-1. Trailing characters are accepted because full consumption/errno are not checked. A nonempty ROCm value takes precedence; otherwise DS4_METAL_GRAPH_OUTPUT_ROW is a fallback alias.	Choose which prefill hidden-state row is sent through the output head to produce logits, primarily for graph/correctness diagnostics.	ds4.c:35860
runtime/rocm	DS4_ROCM_GRAPH_PREFILL_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm graph prefill profile.	ds4.c:32053
runtime/rocm	DS4_ROCM_GRAPH_PREFILL_SPLIT_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm graph prefill split profile.	ds4.c:35783
runtime/rocm	DS4_ROCM_GRAPH_TOKEN_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm graph token profile.	ds4.c:31737
runtime/rocm	DS4_ROCM_INDEXER_STAGE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm indexer stage profile.	ds4.c:29280
runtime/rocm	DS4_ROCM_IQ2_MOE_WMMA_PROFILE	value-aware boolean evaluated on every N>1 mixed IQ2/Q2 launch; unset is off; after trimming whitespace, empty or 1/true/yes/on enables and 0/false/no/off disables (words case-insensitive); invalid values disable profiling with a one-time diagnostic	Use HIP cudaEvent timing to report gate/up, down, and summed GPU milliseconds for the affected hot-list rocWMMA stages, excluding SSD/CPU time; profiling is strict and fails the backend call if either stage or event timing is unavailable.	rocm/ds4_rocm_moe_launch.cuh:22
runtime/rocm	DS4_ROCM_LAYER_STAGE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm layer stage profile.	ds4.c:29119
runtime/rocm	DS4_ROCM_LAYER_STAGE_PROFILE_LAYER	layer filter subordinate to DS4_ROCM_LAYER_STAGE_PROFILE; unset or whitespace-only: all layers allowed by the parent flag; otherwise the whitespace-trimmed value must be a complete base-10 strtoul result <= UINT32_MAX equal to the current layer; invalid values match none	Restricts the ROCm layer/prefill stage profiler to one layer; it does not enable profiling by itself.	ds4.c:29120
runtime/rocm	DS4_ROCM_MOE_DECODE_DOWN_RPB	sampled once; nonempty value is parsed by strtoul (a numeric prefix is sufficient), cast to uint32_t, and accepted only if 1/2/4/8/16/32; unset/empty/invalid inherits DS4_ROCM_MOE_DECODE_RPB, with defaults quality=8, non-quality SSD=2, resident=1	Sets output rows (warps) per block for ROCm Q2_K routed-MoE decode down-projection kernels; threads per block are value * 32.	rocm/ds4_rocm_runtime.cuh:4842
runtime/rocm	DS4_ROCM_MOE_DECODE_GATE_RPB	sampled once; nonempty value is parsed by strtoul (a numeric prefix is sufficient), cast to uint32_t, and accepted only if 1/2/4/8/16/32; unset/empty/invalid defaults to 1 in non-quality SSD mode when DS4_ROCM_MOE_DECODE_RPB is unset/empty, otherwise inherits the resolved base RPB	Sets output rows (warps) per block for ROCm Q2_K routed-MoE decode gate/up kernels; threads per block are value * 32.	rocm/ds4_rocm_runtime.cuh:4836
runtime/rocm	DS4_ROCM_MOE_DECODE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm moe decode profile.	rocm/ds4_rocm_moe_launch.cuh:82
runtime/rocm	DS4_ROCM_MOE_DECODE_RPB	sampled once; nonempty value is parsed by strtoul (a numeric prefix is sufficient), cast to uint32_t, and accepted only if 1/2/4/8/16/32; unset/empty/invalid default: quality=8, non-quality SSD=2, resident=1	Sets the base ROCm Q2_K decode-MoE rows-per-block value inherited by gate/up and down controls, except the automatic SSD gate specialization defaults to 1 when this variable is unset/empty.	rocm/ds4_rocm_runtime.cuh:4832
runtime/rocm	DS4_ROCM_MOE_PATH_DEBUG	presence diagnostic; unset=off; any defined value including empty or 0 enables it	Print ROCm routed-MoE path selection, sorted-tile scratch state, and MXFP4 gate/up launch diagnostics to stderr.	rocm/ds4_rocm_moe_launch.cuh:831
runtime/rocm	DS4_ROCM_MOE_WRITE_CLAMPED_ACT	Pure presence sentinel: any defined value, including empty or "0", is active; DS4_METAL_MOE_WRITE_CLAMPED_ACT is an accepted fallback alias. On ROCm the variable is only consumed as a path-admission veto: it disables selected-expert cache/address-table, selected-slot and CPU-router/fused optimized paths. No ROCm call site parses a clamp amount or directly enables a write-clamped kernel.	Force shared graph selection away from optimizations incompatible with the clamped-intermediate MoE diagnostic; on ROCm this is a compatibility/rollback gate, not itself a clamped-write implementation.	ds4.c:18526
runtime/rocm	DS4_ROCM_MXFP4_DOWN_RGROUP	nonempty value is parsed by strtol and a numeric prefix is sufficient; integers 1..8 are accepted; unset, empty, invalid, or out-of-range values use 1	Set how many 32-row output blocks each ROCm MXFP4 tiled down-projection block computes, reducing the first launch-grid dimension as the value increases.	rocm/ds4_rocm_moe_launch.cuh:801
runtime/rocm	DS4_ROCM_Q4_ATTN_Q_B_F16_CACHE_MB	integer MiB with a full-string parse; default 3072; accepted range 1..65536, values above clamp and invalid or smaller values restore the default	Cap device memory used by resident ROCm Q4_K attn_q_b F16 sidecars.	rocm/ds4_rocm_q4_qb_sidecar.cuh:162
runtime/rocm	DS4_ROCM_Q4_ATTN_Q_B_F16_CACHE_MIN_TOKENS	integer token count with a full-string parse; default 512; accepted range 32..UINT32_MAX, values above clamp and invalid or smaller values restore the default	Set the minimum prefill batch eligible to prepare or use the ROCm Q4 attn_q_b F16 sidecars.	rocm/ds4_rocm_q4_qb_sidecar.cuh:156
runtime/rocm	DS4_ROCM_Q4_ATTN_Q_B_TRANSIENT_F16_MIN_TOKENS	full-string unsigned token count; default 4096; accepted range 32..UINT32_MAX; values above clamp and invalid or smaller values restore 4096	Set the minimum device-resident, non-SSD prefill batch eligible for per-layer transient ROCm Q4_K attn_q_b-to-F16 expansion.	rocm/ds4_rocm_q4_qb_sidecar.cuh:150
runtime/rocm	DS4_ROCM_Q4_GROUPED_ATTN_A_STATS	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Print counters for rocm q4 grouped attn a stats.	rocm/ds4_rocm_q4.cuh:614
runtime/rocm	DS4_ROCM_Q4_PREFILL_TILE8_STATS	presence diagnostic; unset=off; any defined value including empty or 0 prints at exit	Print tiled-prefill dense/pair/attention counters, total and SSD-specific K=1024 TILE4 dispatches, and direct-WMMA total/K32/K64/K128 launch counts.	rocm/ds4_rocm_q4.cuh:1454
runtime/rocm	DS4_ROCM_Q4_PREFILL_WMMA_ROW_TILE	unsigned integer; unset, empty, malformed, negative, or values other than 64/128/256 use shape selection (64 rows when M<1024, 128 when M<8192, otherwise 256); 64 retains the previous geometry	Override the number of output rows sharing each direct-Q4 64x32 activation tile for controlled 64/128/256-row ROCm WMMA A/B measurements.	rocm/ds4_rocm_q4.cuh:1517
runtime/rocm	DS4_ROCM_Q4_QB_F32_EPILOGUE_STATS	presence diagnostic; any defined value requests an exit report when the Q4 F32 wrapper is reached; unset is quiet	Report successful wave32 Q4 F32 epilogue enqueue count. Absence of a report may mean the wrapper was bypassed. Dispatch count is not GPU completion or throughput evidence.	rocm/ds4_rocm_norm_rope.cuh:629
runtime/rocm	DS4_ROCM_Q8_DECODE_SHAREDX_64K	sampled once; unset: enabled; present empty or exact 0: disabled; every other present value: enabled; effective only for one-token non-prequant Q8_0 matmul with 8192 < in_dim <= 16384	Allows the ROCm shared-input Q8 decode kernel to use up to 64 KiB dynamic LDS for wide inputs; an unsupported/failed LDS launch automatically falls back to the regular kernel.	rocm/ds4_rocm_runtime.cuh:4805
runtime/rocm	DS4_ROCM_Q_STAGE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm q stage profile.	ds4.c:30038
runtime/rocm	DS4_ROCM_REQUIRE_Q4_ATTN_Q_B_F16_CACHE	value-aware strict opt-in, default off; unset/0/false/no/off is off, empty or any other value requires eligible batches to use the cache; DISABLE wins	Fail an eligible ROCm prefill instead of falling back when the resident Q4_K attn_q_b F16 specialization cannot be prepared or dispatched.	rocm/ds4_rocm_q4_qb_sidecar.cuh:135
runtime/rocm	DS4_ROCM_REQUIRE_Q4_DECODE_LANE4	presence request and fail-closed assertion; any defined value enables; DISABLE remains authoritative	Require lane4 on every standalone Q4 API call, rejecting out-of-scope shapes and quality mode before enqueue; focused oracle only, not a model-wide flag.	rocm/ds4_rocm_q4.cuh:99
runtime/rocm	DS4_ROCM_REQUIRE_Q4_GROUPED_ATTN_A	presence fail-closed assertion; also requests the candidate outside the caller-marked resident decode default; DISABLE remains authoritative and causes failure	Require grouped Q4 attention-A and fail instead of silently falling back.	rocm/ds4_rocm_q4.cuh:870
runtime/rocm	DS4_ROCM_REQUIRE_Q4_PREFILL_K1024_TILE4	value-aware fail-closed assertion and SSD opt-in; unset/0/false/no/off is off; empty or any other value requires eligible N=9..4096, K=1024, M=32768 dense calls to select TILE4; SSD also requires an actual device-resident weight range; DISABLE wins	Prevent a K=1024 TILE4 correctness/performance oracle from silently falling back to TILE8, including during SSD-streaming A/B runs.	rocm/ds4_rocm_q4.cuh:628
runtime/rocm	DS4_ROCM_REQUIRE_Q4_PREFILL_Q8_K_WAVE32	value-aware strict opt-in; unset/0/false/no/off is off; empty or any other value requires gfx1151 wave32 and N=9..4096; DISABLE and conflicts with required WMMA or the required q_b F16 cache fail closed	Require the no-LDS wave32 Q8_K activation quantizer for exact Q4 prefill instead of silently using the canonical quantizer or an F16 side path.	rocm/ds4_rocm_q4.cuh:796
runtime/rocm	DS4_ROCM_REQUIRE_Q4_PREFILL_TILE8	presence fail-closed assertion for eligible TILE8 calls	Require rocm require q4 prefill tile8 and fail instead of silently falling back.	rocm/ds4_rocm_q4.cuh:452
runtime/rocm	DS4_ROCM_REQUIRE_Q4_PREFILL_WMMA	value-aware strict diagnostic assertion, not required for the automatic standalone/attention-output-A resident default; unset/0/false/no/off is off; empty or any other value requires every selected Q4 dense or attention-output projection to use direct-Q4 WMMA and is the only control that selects the numerically compounded attention-output B stage; unsupported shape/device, quality mode, DISABLE, or an SSD weight range without physical device residency fails before dispatch	Prevent a strict ROCm Q4 prefill WMMA kernel oracle from silently timing TILE8/TILE4; normal runtime controls keep attention-output B on Q8_K+TILE8.	rocm/ds4_rocm_q4.cuh:1360
runtime/rocm	DS4_ROCM_STREAMING_DECODE_PREFILL_MAX	primary nonempty value over the Metal alias; parsed by strtol when it has a numeric prefix (trailing text is accepted); <= 0 disables, values > UINT32_MAX clamp, no numeric prefix uses automatic default: 64 for Flash with uniform Q4_K/MXFP4 experts, 18 for other Pro/Flash, otherwise 0; the disable flag dominates	Sets the largest short, non-quality SSD-streaming prefill batch routed through the decode-style path instead of canonical layer-major prefill.	ds4.c:31976
runtime/rocm	DS4_ROCM_STREAMING_EXPERT_AUTO_PRELOAD_CAP	primary nonempty value over the Metal alias; strict full-string strtoul; valid values > UINT32_MAX clamp, invalid uses 4096, and 0 means no cap (not disabled); when CLI preload is auto/0, unset defaults to cap 4096 except ROCm GLM52, where absent/empty disables automatic preload entirely	Caps the number of hot experts synchronously seeded into the SSD-streaming expert cache in automatic preload mode; an explicit CLI preload count bypasses this cap, and setting this variable opts ROCm GLM52 back into auto preload.	ds4.c:21469
runtime/rocm	DS4_ROCM_STREAMING_EXPERT_CACHE_VERBOSE	presence flag; unset=off	Print verbose ROCm streaming expert-cache seed/load diagnostics.	rocm/ds4_rocm_runtime.cuh:2904
runtime/rocm	DS4_ROCM_STREAMING_EXPERT_HOTLIST	Nonempty filesystem path; a nonempty ROCm value takes precedence, otherwise DS4_METAL_STREAMING_EXPERT_HOTLIST is a fallback. The file contains whitespace-separated layer expert hits rows; blank/comment lines are ignored, zero-hit rows skipped, malformed/open/read errors fail seeding. Unset/empty uses the built-in Pro/Flash/GLM52 hotlist. Effective only when non-cold SSD hotlist seeding is enabled and cache/preload budget is nonzero.	Select a custom ranked expert hotlist used to preseed the streaming resident expert cache before decode.	ds4.c:21494
runtime/rocm	DS4_ROCM_STREAMING_EXPERT_HOTLIST_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming expert hotlist profile.	ds4.c:32244
runtime/rocm	DS4_ROCM_STREAMING_MAP_TRACE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Emit trace diagnostics for rocm streaming map trace.	ds4.c:42643
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_BATCH_SELECTED_ADDR_MAX	primary nonempty value over the Metal alias; strtol accepts a numeric prefix; <= 0 returns 0, > UINT32_MAX clamps, invalid uses ROCm default UINT32_MAX for Pro/Flash/GLM52 and 0 otherwise	Sets the inclusive upper token-count bound for automatically using selected-expert address-table kernels during eligible non-quality SSD batch prefill; 0 disables automatic selection.	ds4.c:18471
